doc,Topic #1,Topic #2,Topic #3,Topic #4,Topic #5,Topic #6,Topic #7,Topic #8,Topic #9,Topic #10
AH 2015 012 - Unknown.txt,1.3794093e-05,1.3792232e-05,1.3792232e-05,1.3792232e-05,1.3792232e-05,1.379469e-05,1.3793086e-05,0.9998759,1.3792232e-05,1.3792232e-05
AH 2015 008 - Unknown.txt,0.00028660873,0.00028656764,0.00028656764,0.00028656764,0.00028656764,0.00028662552,0.9974207,0.0002866484,0.00028656764,0.00028656764
AH 2015 011 - Unknown.txt,1.4764525e-05,1.4761954e-05,1.4761954e-05,1.4761954e-05,1.4761954e-05,0.99986714,1.4762996e-05,1.4765227e-05,1.4761954e-05,1.4761954e-05
AH 2015 009 - Unknown.txt,0.9998488,1.6805729e-05,1.6805729e-05,1.6805729e-05,1.6805729e-05,1.6808828e-05,1.6806778e-05,1.6808899e-05,1.6805729e-05,1.6805729e-05
AH 2015 010 - Unknown.txt,1.771473e-05,1.7712113e-05,1.7712113e-05,1.7712113e-05,1.7712113e-05,0.9998406,1.7713197e-05,1.7715813e-05,1.7712113e-05,1.7712113e-05
