topics/category,agricultural and biological sciences,arts and humanities,"biochemistry, genetics and molecular biology","business, management and accounting",chemical engineering,computer science,decision sciences,"economics, econometrics and finance",engineering,environmental science,health professions,immunology and microbiology,materials science,mathematics,medicine,multidisciplinary,neuroscience,nursing,"pharmacology, toxicology and pharmaceutics",physics and astronomy,psychology,social sciences
other,0,0.04,0.06976744186046512,0,0,0,0,0,0,0.08333333333333333,0.08333333333333333,0.044444444444444446,0,0.1111111111111111,0.05673758865248227,0.2,0.09523809523809523,0.03389830508474576,0,0,0.03773584905660377,0.07317073170731707
3,0.4444444444444444,0.24,0.3023255813953488,0,0,0,0,0,0,0.08333333333333333,0.16666666666666666,0.6,0,0.2222222222222222,0.3120567375886525,0.2,0.14285714285714285,0.2542372881355932,0.4666666666666667,0,0.24528301886792453,0.12195121951219512
2,0.3333333333333333,0.24,0.3023255813953488,0.14285714285714285,0,0.09090909090909091,0,0.2,0,0.25,0.3333333333333333,0.13333333333333333,0,0,0.30851063829787234,0.2,0.47619047619047616,0.2542372881355932,0.2,0,0.4528301886792453,0.12195121951219512
1,0.2222222222222222,0.32,0.18604651162790697,0.5714285714285714,0,0.5454545454545454,0.3333333333333333,0.8,0.6,0.3333333333333333,0.3333333333333333,0.08888888888888889,0,0.2222222222222222,0.16666666666666666,0.2,0.14285714285714285,0.2542372881355932,0.2222222222222222,1.0,0.09433962264150944,0.4268292682926829
5,0,0.16,0.13953488372093023,0.14285714285714285,1.0,0.2727272727272727,0.3333333333333333,0,0.4,0.25,0,0.13333333333333333,1.0,0.2222222222222222,0.15602836879432624,0,0.14285714285714285,0.2033898305084746,0.1111111111111111,0,0.16981132075471697,0.25609756097560976
4,0,0,0,0.14285714285714285,0,0.09090909090909091,0.3333333333333333,0,0,0,0.08333333333333333,0,0,0.2222222222222222,0,0.2,0,0,0,0,0,0
