topics/category,1998-2004,2005-2010,2011-2017
other,22,16,75
2,15,7,0
11,13,26,75
5,12,8,26
6,12,18,46
7,11,9,30
13,11,0,16
8,10,15,16
10,10,0,0
12,8,16,0
14,8,14,27
17,7,25,54
16,0,8,0
3,0,6,0
15,0,0,32
9,0,0,19
4,0,0,16
