topics/category,2011-2017,2005-2010,1998-2004
other,88,55,33
25,186,110,84
3,18,12,0
1,15,7,8
7,15,6,5
9,15,10,7
5,14,0,12
17,14,7,17
22,14,0,0
13,13,7,0
16,13,8,0
21,13,0,7
11,12,0,5
12,12,9,0
2,0,14,6
23,0,12,7
10,0,7,0
6,0,6,0
14,0,0,5
15,0,0,5
18,0,0,5
